"","GameNum","LocationCombination","MedicineCombination","Health","Funds","Shot","Destroyed","Missed","PercentDestroyed"
"1",759,"13","RB",0,461,10,8,2,80
"2",761,"13","RB",0,431,9,3,6,33.3333333333333
"3",852,"13","RB",0,446,9,7,2,77.7777777777778
"4",873,"13","RB",0,426,7,5,2,71.4285714285714
"5",897,"13","RR",0,446,10,7,3,70
"6",964,"13","RB",0,443,9,6,3,66.6666666666667
"7",1037,"12","RB",0,461,9,8,1,88.8888888888889
"8",1091,"13","RB",0,437,9,5,4,55.5555555555556
"9",1156,"13","RB",0,449,10,5,5,50
"10",1168,"13","RB",0,449,10,6,4,60
"11",1173,"13","RB",0,458,11,8,3,72.7272727272727
"12",1179,"13","RB",2,467,11,10,1,90.9090909090909
"13",1180,"13","RB",0,443,6,5,1,83.3333333333333
"14",1232,"13","RB",0,440,9,5,4,55.5555555555556
"15",1235,"13","RB",0,461,10,9,1,90
"16",1238,"13","RB",0,455,10,8,2,80
"17",1285,"12","RB",3,70,11,10,1,90.9090909090909
"18",1360,"13","RB",0,449,10,6,4,60
"19",1382,"13","RB",0,452,10,8,2,80
"20",1385,"13","RB",0,443,8,6,2,75
"21",1394,"13","RB",0,437,11,6,5,54.5454545454545
"22",1414,"12","RB",3,60,10,10,0,100
"23",1429,"13","RB",0,443,8,4,4,50
"24",1506,"13","RB",0,455,9,6,3,66.6666666666667
"25",1510,"13","RB",0,458,10,8,2,80
"26",1549,"13","RB",0,446,10,6,4,60
"27",1562,"13","RB",0,449,8,6,2,75
"28",1585,"13","RB",1,464,11,10,1,90.9090909090909
"29",1593,"13","RB",0,449,10,6,4,60
"30",1664,"13","RB",0,452,8,7,1,87.5
"31",1682,"13","RB",0,416,9,5,4,55.5555555555556
"32",1731,"13","RB",0,455,9,8,1,88.8888888888889
"33",1741,"13","RR",0,449,10,6,4,60
"34",1752,"13","RR",2,467,11,10,1,90.9090909090909
"35",1762,"13","RR",0,437,8,4,4,50
"36",1977,"13","BR",0,443,10,7,3,70
"37",2137,"13","RB",0,461,11,7,4,63.6363636363636
"38",2165,"13","RB",0,443,9,7,2,77.7777777777778
"39",2220,"13","BR",0,443,8,5,3,62.5
"40",2237,"13","RB",0,452,10,8,2,80
"41",2242,"12","RR",2,67,10,10,0,100
"42",2267,"13","RB",0,428,7,3,4,42.8571428571429
"43",2531,"12","RB",3,70,12,10,2,83.3333333333333
